Name,Rating,Amount of Ratings,Short Description,Details,Ingredients,Directions,Author,Nutrition facts
Chicken Makhani (Indian Butter Chicken),4.5,"(1,380)","This butter chicken recipe, or chicken makhani, is one of my favorite Indian dishes. It features a full-flavored sauce that complements the chicken well. It can be made as mild or spicy as you wish by adjusting the cayenne. Serve with basmati rice and naan bread.","

Prep Time:
10 mins


Cook Time:
25 mins


Total Time:
35 mins


Servings:
4 

","

2 tablespoons peanut oil, divided


1  shallot, finely chopped


¼  white onion, chopped


2 tablespoons butter


1 tablespoon ginger garlic paste


2 teaspoons lemon juice


2 teaspoons garam masala, divided


1 teaspoon chili powder


1 teaspoon ground cumin


1  bay leaf


1 cup tomato puree


1 cup half-and-half


¼ cup plain yogurt


1 pinch salt and ground black pepper to taste


1 pound boneless, skinless chicken thighs, cut into bite-size pieces


¼ teaspoon cayenne pepper, or to taste


1 tablespoon cornstarch


¼ cup water

","

 Heat 1 tablespoon oil in a large saucepan over medium-high heat. Sauté shallot and onion until soft and translucent, about 5 minutes.

 





 
 Dotdash Meredith Food Studios




 Stir in butter, ginger-garlic paste, lemon juice, 1 teaspoon garam masala, chili powder, cumin, and bay leaf. Cook and stir for 1 minute. Add tomato sauce, and cook for 2 minutes, continuing to frequently stir.

 





 




 Stir in half-and-half and yogurt. Reduce heat to low, and simmer for 10 minutes, frequently stirring. Season with salt and pepper. Remove from heat and set aside.

 





 
 Dotdash Meredith Food Studios




 Heat remaining 1 tablespoon oil in a large heavy skillet over medium heat. Cook chicken until lightly browned, about 10 minutes.

 





 




 Reduce heat, and season with remaining 1 teaspoon garam masala and cayenne. Stir in a few spoonfuls of sauce, and simmer until liquid has reduced, and chicken is no longer pink. Add cooked chicken into sauce and stir together.

 





 
 Dotdash Meredith Food Studios




 Dissolve cornstarch into water, then mix into the sauce. Cook for 5 to 10 minutes, or until thickened.

 





 
 Dotdash Meredith Food Studios




 Serve over rice with naan.

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
MITCHMAN21
","
Nutrition Facts (per serving)



408
Calories


28g 
Fat


16g 
Carbs


23g 
Protein



"
Chicken Arroz Caldo (Chicken Rice Porridge),4.8,(89),Arroz caldo is a comforting and flavorsome Filipino rice and chicken soup served mainly as a snack but can be enjoyed any time of the day.,"

Prep Time:
20 mins


Cook Time:
20 mins


Total Time:
40 mins


Servings:
5 

","

2 tablespoons olive oil


1  onion, diced


2 cloves garlic, crushed


1 (2 inch) piece fresh ginger, peeled and thinly sliced


2 ¼ pounds chicken wings, split and tips discarded


1 tablespoon fish sauce (Optional)


5 ¼ cups chicken broth


1 cup glutinous sweet rice


  salt and pepper to taste


1  green onion, chopped


1  lemon, sliced (Optional)


1 teaspoon fish sauce for sprinkling, if desired (Optional)

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Heat oil in a large pot over medium heat. Cook and stir onion, garlic, and ginger in hot oil until fragrant, about 5 minutes.

 





 
 Dotdash Meredith Food Studios




 Add chicken wings; cook and stir for 1 minute. Stir in fish sauce, cover, and cook another 2 minutes.

 





 
 Dotdash Meredith Food Studios




 Pour chicken broth into the pot. Stir in sweet rice and bring mixture to a boil. Cover and cook for 10 minutes, stirring occasionally to prevent rice from sticking to the bottom of the pot.

 





 
 Dotdash Meredith Food Studios




 Season with salt and pepper. Portion soup into bowls and garnish with green onion.

 





 
 Dotdash Meredith Food Studios




 Serve with lemon slices and additional fish sauce, if desired.

 





 
 Dotdash Meredith Food Studios



","
Submitted by
lola
","
Nutrition Facts (per serving)



294
Calories


15g 
Fat


25g 
Carbs


16g 
Protein



"
Garlic Chicken Fried Chicken,4.6,"(1,302)","This actually uses my breading for Chicken Fried Steak---my husband suggested we try it with chicken breasts, and it was delicious!","

Prep Time:
20 mins


Cook Time:
15 mins


Total Time:
35 mins


Servings:
4 


Yield:
4 servings

","

2 teaspoons garlic powder, or to taste


1 teaspoon ground black pepper


1 teaspoon salt


1 teaspoon paprika


½ cup seasoned bread crumbs


1 cup all-purpose flour


½ cup milk


1  egg


4  skinless, boneless chicken breast halves - pounded thin


1 cup oil for frying, or as needed

","

 In a shallow dish, mix together the garlic powder, pepper, salt, paprika, bread crumbs and flour. In a separate dish, whisk together the milk and egg.




 Heat the oil in an electric skillet set to 350 degrees F (175 degrees C). Dip the chicken into the egg and milk, then dredge in the dry ingredients until evenly coated.




 Fry chicken in the hot oil for about 5 minutes per side, or until the chicken is cooked through and juices run clear. Remove from the oil with a slotted spatula, and serve.

 





 
 Tacita “Lady_T” Beautiful



","
Submitted by
TANAQUIL
","
Nutrition Facts (per serving)



391
Calories


11g 
Fat


37g 
Carbs


33g 
Protein



"
Chicken Fried Chicken,4.7,"(2,443)","A fun chicken recipe the kids can help prepare. They love crushing the crackers. It does not matter if the measurements aren't perfect, just wing it!","

Prep Time:
25 mins


Cook Time:
20 mins


Total Time:
45 mins


Servings:
6 


Yield:
6 servings

","

30  saltine crackers


2 tablespoons all-purpose flour


2 tablespoons dry potato flakes


1 teaspoon seasoned salt


½ teaspoon ground black pepper


1  egg


6  skinless, boneless chicken breast halves


2 cups vegetable oil for frying

","

 Place crackers in a large resealable plastic bag; seal bag and crush crackers with a rolling pin until they are coarse crumbs. Add the flour, potato flakes, seasoned salt, and pepper and mix well.




 Beat egg in a shallow dish or bowl. One by one, dredge chicken pieces in egg, then place in bag with crumb mixture. Seal bag and shake to coat.




 Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).




 Fry chicken, turning frequently, until golden brown and juices run clear, 15 to 20 minutes.

 





 



","
Submitted by
CASSJW
","
Nutrition Facts (per serving)



887
Calories


80g 
Fat


14g 
Carbs


29g 
Protein



"
Chicken Enchiladas with Cream of Chicken Soup,4.6,"(1,503)","For this chicken enchilada recipe with cream of chicken soup, spicy chicken and chile peppers are rolled up in flour tortillas and baked with Cheddar cheese on top. This is an easy, comforting dish that you will love.","

Prep Time:
15 mins


Cook Time:
30 mins


Total Time:
45 mins


Servings:
8 

","

1 (10.5 ounce) can condensed cream of chicken soup


½ cup sour cream


1 tablespoon margarine


1  onion, chopped


1 teaspoon chili powder


2 cups chopped cooked chicken breast


1 (4 ounce) can chopped green chile peppers, drained


8  (8 inch) flour tortillas


1 cup shredded Cheddar cheese

","

 Preheat the oven to 350 degrees F (175 degrees C).




 Mix soup and sour cream in a small bowl; set aside.




 Melt margarine in a medium saucepan over medium-high heat. Add onion and chili powder, and sauté until tender. Stir in chicken, chile peppers, and 2 tablespoons of the soup mixture. Cook and stir until heated through.




 Spread 1/2 cup of the soup mixture in a 9x13-inch baking dish. Spoon about 1/4 cup of the chicken mixture down the center of each tortilla. Roll up tortillas and place, seam-sides-down, in the baking dish. Spoon remaining soup mixture on top, and sprinkle with cheese.




 Bake in the preheated oven until bubbly and lightly browned, about 25 minutes.



","
Submitted by
Jeri Reed
","
Nutrition Facts (per serving)



352
Calories


17g 
Fat


31g 
Carbs


19g 
Protein



"
Makhani Chicken (Indian Butter Chicken),4.5,(185),"This fragrant, spicy Indian butter chicken recipe with yogurt marinade is from the owner of India Cuisine restaurant in Seattle, Washington. Serve with hot Indian bread.","

Prep Time:
 1 hr


Cook Time:
35 mins


Additional Time:
 4 hrs


Total Time:
 5 hrs 35 mins


Servings:
6 

","

1 ¾ pounds skinless, boneless chicken breast halves - cubed


3 tablespoons lemon juice, divided


2 tablespoons chili powder, divided


  salt to taste


1 cup yogurt


2 tablespoons olive oil


2 tablespoons garlic paste


2 tablespoons ginger paste


2 tablespoons melted butter


1 ½ teaspoons garam masala

","

 Make marinade: Place chicken in a nonporous glass dish or bowl. Add 1 tablespoon lemon juice, 1 tablespoon chili powder, and salt; stir to evenly coat chicken. Cover the dish and let marinate in the refrigerator for about 1 hour.




 Line a strainer with cheesecloth. Place yogurt in the strainer and allow it to drain for 15 to 20 minutes. Transfer drained yogurt to a medium bowl. Mix remaining 2 tablespoons lemon juice, oil, garlic paste, ginger paste, melted butter, remaining 1 tablespoon chili powder, and garam masala into yogurt until well combined. Pour yogurt mixture over chicken, cover the dish, and refrigerate once more to marinate for 3 to 4 hours.




 Preheat the oven to 400 degrees F (200 degrees C).




 Place chicken on skewers; arrange in a 9x13-inch baking dish.




 Bake in the preheated oven until almost cooked through, about 20 minutes.




 Make sauce: Melt butter in a medium saucepan over medium heat. Stir in garam masala. When masala begins to crackle, mix in ginger paste, garlic, and green chile pepper. Sauté until tender, 2 to 3 minutes; stir in tomato purée, water, chili powder, and salt. Bring to a boil; reduce heat to low and simmer, stirring in honey and fenugreek.




 Remove par-cooked chicken from skewers and place into sauce in the pan. Continue cooking until chicken is no longer pink inside, about 5 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Stir in cream until incorporated.

 





 
 MotherSarah



","
Submitted by
Robert
","
Nutrition Facts (per serving)



492
Calories


28g 
Fat


19g 
Carbs


36g 
Protein



"
Simple Baked Chicken Breasts,4.7,(511),"Learn how to bake chicken that's tender, juicy, and perfect every time with this simple, 5-ingredient recipe for boneless, skinless chicken breasts. Adding just a bit of chicken broth to those beautiful pan drippings creates a tasty pan sauce that adds extra flavor at the table.","

Prep Time:
10 mins


Cook Time:
25 mins


Total Time:
35 mins


Servings:
4 

","

4 (5 ounce) skinless, boneless chicken breast halves


2 tablespoons olive oil


½ teaspoon coarse sea salt, or to taste


1 pinch Creole seasoning (such as Tony Chachere's®), or more to taste


1 tablespoon chicken broth, or more to taste

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Preheat the oven to 400 degrees F (200 degrees C).




 Rub chicken breasts with olive oil and sprinkle both sides with salt and Creole seasoning. Place chicken in a broiler pan.

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven for 10 minutes. Flip chicken and cook until no longer pink in the center and the juices run clear, about 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).

 





 
 Dotdash Meredith Food Studios




 Remove chicken to a plate.




 Pour chicken broth into the pan and scrape any browned bits off the bottom with a flat-edged wooden spatula. Add more broth if needed to dislodge the browned bits, but not too much or it will be watery.

 





 
 Dotdash Meredith Food Studios




 To serve, drizzle the pan sauce over the chicken.

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
Always Cooking Up Something
","
Nutrition Facts (per serving)



191
Calories


10g 
Fat


0g 
Carbs


25g 
Protein



"
Best Chicken Salad,4.6,(815),This chicken salad recipe is the best and a family favorite! I like to use leftover roast chicken or baked chicken breasts that have been sprinkled with basil or rosemary.,"

Prep Time:
5 mins


Cook Time:
5 mins


Total Time:
10 mins


Servings:
2 

","

½ cup blanched slivered almonds


½ cup mayonnaise


1 tablespoon lemon juice


¼ teaspoon ground black pepper


2 cups chopped, cooked chicken meat


1 stalk celery, chopped

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily.

 





 
 Dotdash Meredith Food Studios




 Mix together mayonnaise, lemon juice, and pepper in a medium bowl.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 Toss with chicken, toasted almonds, and celery.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 Enjoy!

 





 
 Dotdash Meredith Food Studios



","
Submitted by
Jackie M
","
Nutrition Facts (per serving)



779
Calories


63g 
Fat


8g 
Carbs


44g 
Protein



"
Crispy Fried Chicken,4.5,(784),I experimented with lots of recipes over the years to find the best crispy fried chicken. This is it! It's bits and pieces of hints I have heard over the years. It's more a matter of preparation and cooking method!,"

Prep Time:
15 mins


Cook Time:
35 mins


Additional Time:
30 mins


Total Time:
 1 hr 20 mins


Servings:
8 

","

1 (4 pound) chicken, cut into pieces


1 cup buttermilk


2 cups all-purpose flour for coating


1 teaspoon paprika


  salt and pepper to taste


2 quarts vegetable oil for frying

","

 Take your cut up chicken pieces and skin them if you prefer.




 Put the flour in a large plastic bag (let the amount of chicken you are cooking dictate the amount of flour you use). Season the flour with paprika, salt and pepper to taste (paprika helps to brown the chicken).

 





 
 Dotdash Meredith Food Studios




 Dip chicken pieces in buttermilk then, a few at a time, put them in the bag with the flour, seal the bag and shake to coat well.

 





 
 Dotdash Meredith Food Studios




 Place the coated chicken on a cookie sheet or tray, and cover with a clean dish towel or waxed paper. LET SIT UNTIL THE FLOUR IS OF A PASTE-LIKE CONSISTENCY. THIS IS CRUCIAL!

 





 
 Dotdash Meredith Food Studios




 Fill a large skillet (cast iron is best) about 1/3 to 1/2 full with vegetable oil. Heat until VERY hot.




 Put in as many chicken pieces as the skillet can hold. Brown the chicken in HOT oil on both sides.

 





 
 Dotdash Meredith Food Studios




 When browned, reduce heat and cover skillet; let cook for 30 minutes (the chicken will be cooked through but not crispy). Remove cover, raise heat again, and continue to fry until crispy.




 Drain the fried chicken on paper towels. Depending on how much chicken you have, you may have to fry in a few shifts. Keep the finished chicken in a slightly warm oven while preparing the rest.

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
Elaine O
","
Nutrition Facts (per serving)



489
Calories


22g 
Fat


30g 
Carbs


41g 
Protein



"
Chicken Parmesan,4.8,"(4,905)","My version of chicken Parmesan is a little different than what they do in the restaurants, with less sauce and a crispier crust.","

Prep Time:
15 mins


Cook Time:
20 mins


Additional Time:
10 mins


Total Time:
45 mins


Servings:
4 


Yield:
4 servings

","

4  skinless, boneless chicken breast halves


  salt and freshly ground black pepper to taste


2 large eggs


1 cup panko bread crumbs, or more as needed


¾ cup grated Parmesan cheese, divided


2 tablespoons all-purpose flour, or more if needed


½ cup olive oil for frying, or as needed


½ cup prepared tomato sauce


¼ cup fresh mozzarella, cut into small cubes 


¼ cup chopped fresh basil


½ cup grated provolone cheese


2 teaspoons olive oil

","

 Gather the ingredients. Preheat an oven to 450 degrees F (230 degrees C).

 





 
 Dotdash Meredith Food Studios




 Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch.

 





 
 Dotdash Meredith Food Studios




 Season chicken thoroughly with salt and pepper. Using a sifter or strainer; sprinkle flour over chicken breasts, evenly coating both sides

 





 
 Dotdash Meredith Food Studios




 Beat eggs in a shallow bowl and set aside. Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside. Dip a flour-coated chicken breast in beaten eggs. Transfer breast to the bread crumb mixture, pressing crumbs into both sides. Repeat for each breast. Let chicken rest for 10 to 15 minutes.

 





 
 Dotdash Meredith Food Studios




 Heat 1/2 inch olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken in the hot oil until golden, about 2 minutes per side. The chicken will finish cooking in the oven.

 





 
 Dotdash Meredith Food Studios




 Transfer chicken to a baking dish. Top each breast with 2 tablespoons tomato sauce. Layer each chicken breast with equal amounts of mozzarella cheese, fresh basil, and provolone cheese. Sprinkle remaining Parmesan over top and drizzle each with 1/2 teaspoon olive oil.

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven until cheese is browned and bubbly and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).

 





 
 Dotdash Meredith Food Studios



","
By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines


","
Nutrition Facts (per serving)



471
Calories


25g 
Fat


25g 
Carbs


42g 
Protein



"
